305.283156	306.606741	D
306.606741	307.054997	S
307.054997	310.524104	D
310.524104	310.982104	S
310.982104	316.614532	D
316.614532	317.423341	S
317.423341	320.411710	D
320.411710	321.332583	S
321.332583	321.863668	D
321.863668	322.253456	S
322.253456	325.764790	D
325.764790	326.713273	S
326.713273	327.138791	D
327.138791	327.561060	S
327.561060	329.738997	D
329.738997	330.424373	S
330.424373	331.070771	D
331.070771	331.369608	S
331.369608	332.033870	D
332.033870	332.448019	S
332.448019	333.201608	D
333.201608	333.528055	S
333.528055	333.925963	D
333.925963	334.457048	S
334.457048	336.578141	D
336.578141	337.341475	S
337.341475	340.245391	D
340.245391	341.011973	S
341.011973	342.701051	A
342.701051	343.766470	S
343.766470	346.040230	D
346.040230	346.363428	S
346.363428	347.011450	D
347.011450	348.188932	S
348.188932	353.751523	D
353.751523	354.196530	S
354.196530	355.804403	D
355.804403	357.149170	S
357.149170	362.053994	D
362.053994	363.626136	S
363.626136	366.000591	D
366.000591	366.211726	S
366.211726	368.644649	D
368.644649	368.936989	S
368.936989	373.026508	D
373.026508	373.487757	S
373.487757	375.144353	A
375.144353	375.519523	D
375.519523	375.897942	A
375.897942	376.177289	S
376.177289	376.555708	D
376.555708	377.029949	S
377.029949	378.941531	D
378.941531	379.474241	S
379.474241	382.438249	D
382.438249	383.271419	S
383.271419	388.137265	D
